"table_name","column_name","data_type","is_nullable","column_default","constraints"
"messages","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY REFERENCES messages(id), PRIMARY KEY REFERENCES messages(inserted_at)"
"messages","request_id","uuid","NO","","FOREIGN KEY REFERENCES requests(id)"
"messages","content","text","NO","",""
"messages","sender_id","uuid","NO","","FOREIGN KEY REFERENCES users(id)"
"messages","sender_type","text","NO","",""
"messages","created_at","timestamp with time zone","NO","now()",""
"profiles","id","uuid","NO","","FOREIGN KEY REFERENCES users(id), PRIMARY KEY REFERENCES profiles(id)"
"profiles","email","text","NO","","UNIQUE REFERENCES profiles(email)"
"profiles","full_name","text","NO","",""
"profiles","role","text","NO","'customer'::text",""
"profiles","created_at","timestamp with time zone","NO","now()",""
"profiles","updated_at","timestamp with time zone","NO","now()",""
"requests","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY REFERENCES requests(id)"
"requests","customer_id","uuid","NO","","FOREIGN KEY REFERENCES profiles(id)"
"requests","title","text","NO","",""
"requests","description","text","NO","",""
"requests","status","text","NO","'new'::text",""
"requests","created_at","timestamp with time zone","NO","now()",""
"requests","assigned_to","uuid","YES","","FOREIGN KEY REFERENCES users(id)"
"requests","priority","text","YES","'medium'::text",""
"requests","category","text","YES","",""
